Index: 368, Obs: 30.37278, Tipo de mensaje: m2
Index: 369, Obs: 21.38208, Tipo de mensaje: m2
Index: 370, Obs: 16.22025, Tipo de mensaje: m2
Index: 371, Obs: 22.40133, Tipo de mensaje: m2
Index: 372, Obs: 21.40862, Tipo de mensaje: m2
Index: 373, Obs: 17.31946, Tipo de mensaje: m2
Index: 374, Obs: 27.52388, Tipo de mensaje: m2
Index: 375, Obs: 20.54610, Tipo de mensaje: m2
Index: 376, Obs: 21.78960, Tipo de mensaje: m2
Index: 377, Obs: 15.20859, Tipo de mensaje: m2
Index: 378, Obs: 17.64956, Tipo de mensaje: m2
Index: 379, Obs: 14.29324, Tipo de mensaje: m1
Index: 380, Obs: 12.29186, Tipo de mensaje: m1
Index: 381, Obs: 21.05768, Tipo de mensaje: m2
Index: 382, Obs: 13.69017, Tipo de mensaje: m1
Index: 383, Obs: 18.23618, Tipo de mensaje: m2
Index: 384, Obs: 17.13319, Tipo de mensaje: m2
Index: 385, Obs: 15.87088, Tipo de mensaje: m2
Index: 386, Obs: 16.61997, Tipo de mensaje: m2
Index: 387, Obs: 19.97823, Tipo de mensaje: m2
Index: 388, Obs: 25.82017, Tipo de mensaje: m2
Index: 389, Obs: 26.97957, Tipo de mensaje: m2
Index: 390, Obs: 13.19550, Tipo de mensaje: m1
Index: 391, Obs: 21.86031, Tipo de mensaje: m2
Index: 392, Obs: 20.79133, Tipo de mensaje: m2
Index: 393, Obs: 16.15178, Tipo de mensaje: m2
Index: 394, Obs: 19.85480, Tipo de mensaje: m2
Index: 395, Obs: 19.94047, Tipo de mensaje: m2
Index: 396, Obs: 21.25961, Tipo de mensaje: m2
Index: 397, Obs: 16.61455, Tipo de mensaje: m2
Index: 398, Obs: 17.40058, Tipo de mensaje: m2
Index: 399, Obs: 21.06752, Tipo de mensaje: m2
Index: 400, Obs: 12.30489, Tipo de mensaje: m1
Index: 401, Obs: 19.97650, Tipo de mensaje: m2
Index: 402, Obs: 20.18697, Tipo de mensaje: m2
Index: 403, Obs: 19.25248, Tipo de mensaje: m2
Index: 404, Obs: 17.29416, Tipo de mensaje: m2
Index: 405, Obs: 16.66386, Tipo de mensaje: m2
Index: 406, Obs: 12.07558, Tipo de mensaje: m1
Index: 407, Obs: 20.33520, Tipo de mensaje: m2
Index: 408, Obs: 16.23865, Tipo de mensaje: m2
Index: 409, Obs: 11.57832, Tipo de mensaje: m1
Index: 410, Obs: 13.55072, Tipo de mensaje: m1
Index: 411, Obs: 18.93714, Tipo de mensaje: m2
Index: 412, Obs: 24.86596, Tipo de mensaje: m2
Index: 413, Obs: 25.65364, Tipo de mensaje: m2
Index: 414, Obs: 20.93386, Tipo de mensaje: m2
Index: 415, Obs: 25.41593, Tipo de mensaje: m2
Index: 416, Obs: 15.11519, Tipo de mensaje: m2
Index: 417, Obs: 14.96382, Tipo de mensaje: m1
Index: 418, Obs: 19.66649, Tipo de mensaje: m2
Index: 419, Obs: 19.41857, Tipo de mensaje: m2
Index: 420, Obs: 23.69048, Tipo de mensaje: m2
